id;login;password_hash;first_name;last_name;email;activated;lang_key;created_by;last_modified_by;company_id;birth_date
1;system;$2a$10$mE.qmcV0mFU5NcKh73TZx.z4ueI/.bDWbj0T1BYyqP481kGGarKLG;System;System;system@localhost.ru;true;en;system;system;null;2016-11-08
2;anonymoususer;$2a$10$j8S5d7Sr7.8VTOYNviDPOeWX8KcYILUVJBsYV83Y5NtECayypx9lO;Anonymous;User;anonymous@localhost.ru;true;en;system;system;null;2016-11-08
3;admin;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;Administrator;Administrator;admin@localhost.ru;true;en;system;system;null;2016-11-08
4;user;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;User;User;user@localhost.ru;true;en;system;system;null;2016-11-08
5;superadmin;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;SuperAdmin;Superadmin;superadmin@localhost.ru;true;en;system;system;null;2016-11-08
6;testadmin01;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;SuperAdmin;Superadmin;testadmin01@localhost.ru;true;en;system;system;1;2016-11-08
7;testadmin02;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;SuperAdmin;Superadmin;testadmin02@localhost.ru;true;en;system;system;2;2016-11-08
8;testadmin03;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;SuperAdmin;Superadmin;testadmin03@localhost.ru;true;en;system;system;3;2016-11-08
9;testadmin04;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;SuperAdmin;Superadmin;testadmin04@localhost.ru;false;en;system;system;4;2016-11-08
10;testadmin05;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;SuperAdmin;Superadmin;testadmin05@localhost.ru;true;en;system;system;5;2016-11-08
11;testadmin06;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;SuperAdmin;Superadmin;testadmin06@localhost.ru;true;en;system;system;6;2016-11-08
12;testadmin07;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;SuperAdmin;Superadmin;testadmin07@localhost.ru;true;en;system;system;7;2016-11-08
13;testadmin08;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;SuperAdmin;Superadmin;testadmin08@localhost.ru;true;en;system;system;8;2016-11-08
14;testadmin09;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;SuperAdmin;Superadmin;testadmin09@localhost.ru;true;en;system;system;9;2016-11-08
15;testadmin10;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;SuperAdmin;Superadmin;testadmin10@localhost.ru;true;en;system;system;10;2016-11-08
16;testadmin11;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;SuperAdmin;Superadmin;testadmin11@localhost.ru;true;en;system;system;11;2016-11-08
17;testadmin12;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;SuperAdmin;Superadmin;testadmin12@localhost.ru;true;en;system;system;12;2016-11-08
18;testadmin13;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;SuperAdmin;Superadmin;testadmin13@localhost.ru;true;en;system;system;13;2016-11-08
19;testadmin14;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;SuperAdmin;Superadmin;testadmin14@localhost.ru;true;en;system;system;14;2016-11-08
20;testadmin15;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;SuperAdmin;Superadmin;testadmin15@localhost.ru;true;en;system;system;15;2016-11-08
21;dispatcher;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;Dispat;Cher;dispatcher@localhost.ru;true;en;system;system;3;2016-11-08
22;Driver_1_comp_3;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;Alex;Hirch;driver_1_3@localhost.ru;true;en;system;system;3;2016-11-08
23;Driver_2_comp_3;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;Brain;Mozgh;driver_2_3@localhost.ru;true;en;system;system;3;2016-11-08
24;Driver_3_comp_3;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;Mike;Stark;driver_3_3@localhost.ru;true;en;system;system;3;2016-11-08
25;Driver_4_comp_3;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;Heisenberg;Letscook;driver_4_3@localhost.ru;true;en;system;system;3;2016-11-08
26;owner;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;Administrator;Administrator;owner@localhost.ru;true;en;system;system;3;2016-11-08
100;driver1;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;Driver;Driverovich;d1@localhost.ru;true;en;system;system;3;2016-11-08
1001;manager;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;Mad;Manager;madman@localhost;true;en;system;system;3;1930-11-08
